,room,floor,floor_counts,square,price,metro_foot_minute,zone,district,metro
50,2,2,23,72.1,30371301,5,ЮАО,Нагатинский затон,Технопарк
51,2,8,9,55.7,40000000,5,ЦАО,Тверской,Белорусская
52,2,3,6,120.3,220620000,5,ЦАО,Басманный,Чистые пруды
53,3,6,13,107.5,160500000,9,ЦАО,Хамовники,Спортивная
54,2,4,21,47.9,15471700,12,ЗАО,Очаково,Давыдково
55,2,5,14,129.5,147800000,10,ЦАО,Хамовники,Спортивная
56,2,3,13,82.36,43963768,24,ЗАО,,Павшино
57,3,2,8,152.2,155000000,6,ЦАО,Хамовники,Спортивная
58,2,2,37,64.3,41409489,8,САО,Беговой,Белорусская
59,3,3,11,118.71,135000000,6,ЦАО,Хамовники,Спортивная
60,1,2,14,72.6,133260000,2,ЦАО,Якиманка,Полянка
61,3,4,5,150.8,219580001,9,ЦАО,Пресненский,Тверская
62,2,15,34,39.6,17625960,8,ЮАО,Нагорный,Нагорная
63,3,6,12,107.0,160500000,9,ЦАО,Хамовники,Спортивная
64,2,4,10,60.1,29485060,13,СЗАО,Покровское,Спартак
65,3,5,8,106.7,150000000,11,ЦАО,Якиманка,Новокузнецкая
66,2,10,14,67.2,37100000,6,ЗАО,Раменки,
67,3,12,35,71.0,41000000,13,ЦАО,Пресненский,Шелепиха
68,2,10,23,73.0,31536000,13,ЦАО,Басманный,Бауманская
69,3,4,6,143.7,167000000,4,ЦАО,Пресненский,Пушкинская
70,,,,,29700000,5,ЦАО,Замоскворечье,Павелецкая
71,3,25,30,134.0,66000000,4,ЗАО,Проспект Вернадского,Проспект Вернадского
72,2,2,57,58.48,32674530,5,ЗАО,Филевский парк,Фили
73,3,4,6,145.0,167000000,4,ЦАО,Пресненский,Пушкинская
74,2,2,21,59.52,27570000,11,СВАО,Марфино,Телецентр
75,3,7,9,135.0,156000000,9,ЦАО,Замоскворечье,Павелецкая
76,2,9,11,55.8,52579503,16,ЮАО,Даниловский,Павелецкая
77,3,10,13,150.7,170000000,9,ЦАО,Хамовники,Спортивная
78,2,3,22,52.9,24740430,13,СВАО,Марьина роща,Савёловская
79,1,10,14,65.2,35000000,6,ЦАО,Мещанский,Проспект Мира
80,2,4,16,57.31,25159630,7,ВАО,Преображенское,Преображенская площадь
81,3,10,18,105.6,89900000,15,ЗАО,Дорогомилово,Москва
82,2,4,20,73.02,60173080,4,ЦАО,Пресненский,Краснопресненская
83,2,34,78,76.1,62000000,3,ЦАО,Пресненский,Москва
84,3,22,34,83.6,124597929,14,ЗАО,Дорогомилово,Кутузовская
85,2,3,5,69.3,52000000,13,САО,Хорошевский,Аэропорт
86,2,4,15,76.6,34954787,4,СВАО,Останкинский,Алексеевская
87,3,4,6,179.0,246547171,6,ЦАО,Хамовники,Кропоткинская
88,2,4,6,74.91,120530190,10,ЦАО,Замоскворечье,Новокузнецкая
